Imprint,Publisher
Basic,Basic
Bloom,Bloom
Canary Street,Canary Street
Lioncrest,Lioncrest
Row House,Row House
Workman,Workman
Abrams Appleseed,Abrams Books
Amulet,Abrams Books
Bloomsbury,Bloomsbury
Disney,Disney Publishing Worldwide
Disney-Hyperion,Disney Publishing Worldwide
Back Bay,Hachette Book
Grand Central,Hachette Book
"Little, Brown",Hachette Book
"Little, Brown Spark",Hachette Book
Twelve,Hachette Book
Broadside,HarperCollins
Clarion,HarperCollins
Dey Street,HarperCollins
Ecco,HarperCollins
Harper,HarperCollins
Harper Perennial,HarperCollins
Harper Select,HarperCollins
Harper Voyager,HarperCollins
HarperCollins,HarperCollins
HarperFestival,HarperCollins
HarperOne,HarperCollins
HarperTeen,HarperCollins
Morrow,HarperCollins
Quill Tree,HarperCollins
Thomas Nelson,HarperCollins
Zonderkidz,HarperCollins
Hay House,Hay House
Celadon,Macmillan Publishers
"Farrar, Straus & Giroux",Macmillan Publishers
Flatiron,Macmillan Publishers
Holt,Macmillan Publishers
Minotaur,Macmillan Publishers
St. Martin's,Macmillan Publishers
St. Martin's Griffin,Macmillan Publishers
Wednesday,Macmillan Publishers
Milkweed Editions,Milkweed Editions
One World,Oneworld Publications
Avery,Penguin Random House
Ballantine,Penguin Random House
Berkley,Penguin Random House
Broadway,Penguin Random House
Clarkson Potter,Penguin Random House
Crown,Penguin Random House
Delacorte,Penguin Random House
Dial,Penguin Random House
Doubleday,Penguin Random House
Dutton,Penguin Random House
Grosset & Dunlap,Penguin Random House
Harmony,Penguin Random House
Knopf,Penguin Random House
Kokila,Penguin Random House
Pamela Dorman,Penguin Random House
Penguin,Penguin Random House
Penguin Press,Penguin Random House
Penguin Workshop,Penguin Random House
Philomel,Penguin Random House
Putnam,Penguin Random House
Random House,Penguin Random House
Random House Studio,Penguin Random House
Riverhead,Penguin Random House
TarcherPerigee,Penguin Random House
Viking,Penguin Random House
Scholastic,Scholastic
Atria,Simon & Schuster
Avid Reader,Simon & Schuster
Gallery/13A,Simon & Schuster
Margaret K. McElderry,Simon & Schuster
Scribner,Simon & Schuster
Simon & Schuster,Simon & Schuster
Washington Square,Simon & Schuster
Washington Square/Atria,Simon & Schuster
Sourcebooks Jabberwocky,Sourcebooks
Sourcebooks Wonderland,Sourcebooks
Tyndale Momentum,Tyndale House
Abrams Books,Abrams Books
Ace,Penguin Random House
Akashic Books,Akashic Books
Aladdin,Simon & Schuster
Amistad/HarperCollins,HarperCollins
Amy Einhorn/Putnam,Penguin Random House
Anchor,Penguin Random House
Abrams,Abrams Books
Algonquin,Hachette Book
Andrews McMeel,Andrews McMeel Publishing
Artisan,Hachette Book
Avon,HarperCollins
Avon/HarperCollins,HarperCollins
"Back Bay/Little, Brown",Hachette Book
Baker,Baker
Bantam,Penguin Random House
Beaufort Books,Independent Publishers Group
Belknap,Harvard Business Publishing
Belknap Press,Harvard Business Publishing
Belknap/Harvard University,Harvard Business Publishing
Berkley Caliber,Penguin Random House
Bird Street,Bird Street
Black Oak Books,Black Oak Books
Bird Street Books,Bird Street Books
Blue Rider,Blue Rider
Callisto Media,TBN Publishing
Candlewick,Walker Books Group
Center Street,Hachette Book
Charisma House,Charisma House Publishing
Chronicle,Hachette Book
Chronicle Books,Hachette Book
Cook's Illustrated,Marquee Brands
Crown Archetype,Penguin Random House
Crown Business,Penguin Random House
Crown Forum,Penguin Random House
DAW,Astra Publishing
Del Rey,Penguin Random House
Dell,Penguin Random House
Dey St./Morrow,HarperCollins
Dey Street/Morrow,HarperCollins
Disney Publishing Worldwide,Disney Publishing Worldwide
Eamon Dolan/Houghton Mifflin Harcourt,Simon & Schuster
Ecco/HarperCollins,HarperCollins
Ellora's Cave,Simon & Schuster
Emily Bestler/Atria,Simon & Schuster
Entangled,Entangled Publishing
FaithWords,Hachette Book
Feiwel & Friends,Macmillan Publishers
Forge,Macmillan Publishers
Free Press,Simon & Schuster
FrontLine,Frontline Publishing
Gallery,Simon & Schuster
Gallery Books,Simon & Schuster
Golden Books,Simon & Schuster
Gossamer,Gossamer Publishing
Gotham,Gotham Books
Grand Central Life & Style,Hachette Book
Grand Central Life and Style,Hachette Book
Grand Central Publishing,Hachette Book
Graywolf,Graywolf Press
Guinness World Records,Macmillan Publishers
Handprint/Chronicle,Hachette Book
Harlequin,HarperCollins
Harlequin Books,HarperCollins
Harlequin Mira,HarperCollins
Harper Business/HarperCollins,HarperCollins
Harper Perennial/HarperCollins,HarperCollins
Harper Sloan,HarperCollins
Harper/HarperCollins,HarperCollins
HarperBusiness,HarperCollins
HarperCollins Publishers,HarperCollins
HarperOne/HarperCollins,HarperCollins
HarperWave,HarperCollins
Harvard Business Review,Harvard Business Publishing
Hazelden,Hazelden Publishing
Hazelden Publishing,Hazelden Publishing
Helen Cooper,Macmillan Publishers
Hogarth,Penguin Random House
Houghton Mifflin Harcourt,Penguin Random House
Houghton Mifflin Harcourt Publishing,Penguin Random House
Howard,Howard Books
Howard Books,Howard Books
HTJB,HTJB Inc
Hyperion,Hachette Book
Hyperion Press,Hachette Book
InterMix,Penguin Random House
It Books,HarperCollins
J. Daniels,Simon & Schuster
J.B. Salsbury,Hachette Book
