publisher_id,publisher_name
1,Basic
2,Bloom
3,Canary Street
4,Lioncrest
5,Row House
6,Workman
7,Abrams Books
8,Bloomsbury
9,Disney Publishing Worldwide
10,Hachette Book
11,HarperCollins
12,Hay House
13,Macmillan Publishers
14,Milkweed Editions
15,Oneworld Publications
16,Penguin Random House
17,Scholastic
18,Simon & Schuster
19,Sourcebooks
20,Tyndale House
21,Akashic Books
22,Andrews McMeel Publishing
23,Baker
24,Independent Publishers Group
25,Harvard Business Publishing
26,Bird Street
27,Black Oak Books
28,Bird Street Books
29,Blue Rider
30,TBN Publishing
31,Walker Books Group
32,Charisma House Publishing
33,Marquee Brands
34,Astra Publishing
35,Entangled Publishing
36,Frontline Publishing
37,Gossamer Publishing
38,Gotham Books
39,Graywolf Press
40,Hazelden Publishing
41,Howard Books
42,HTJB Inc
43,Jossey-Bass
44,Ramsey Press
45,Latin Goddess Press
46,W. W. Norton & Company
47,Liza Dawson Associates
48,Morgan James
49,Namaste Publishing
50,New Harbinger Publications
51,New Press
52,Northfield Publishing
53,Open Road Media
54,Penelope Ward
55,Post Hill Press
56,Quirk Books
57,Regnery Publishing
58,Scholastic Press
59,Spiegel & Grau
60,Barnes & Noble
61,Various publishers
62,"John Wiley & Sons, Inc."
63,Hasbro
64,Atlantic Monthly
65,Atria/Keywords
66,B & H Publishing
67,Baker Publishing Group
68,CreateSpace
69,DGS
70,Europa Editions
71,Diversion Publishing
72,Grove
73,Grove/Atlantic Inc
74,Laree Bailey Press
75,Metal Blonde Books
76,New Word City
77,Oak Press
78,Princeton University Press
79,Science Future Press
80,South Dakota Historical Society Press
81,Aces Press
82,Rowman & Littlefield
83,Zebra Press
